iter	Passed	Remaining
464	12592	14488
465	12617	14458
466	12643	14430
467	12671	14404
468	12695	14373
469	12720	14344
470	12744	14313
471	12774	14289
472	12799	14260
473	12825	14232
474	12850	14202
475	12877	14175
476	12901	14146
477	12926	14116
478	12955	14091
479	12978	14059
480	12997	14024
481	13022	13995
482	13047	13965
483	13073	13937
484	13103	13913
485	13125	13881
486	13149	13851
487	13176	13825
488	13200	13794
489	13223	13763
490	13251	13737
491	13279	13711
492	13306	13684
493	13331	13655
494	13354	13624
495	13379	13594
496	13408	13569
497	13437	13545
498	13463	13516
499	13488	13488
500	13513	13459
501	13539	13431
502	13566	13404
503	13591	13376
504	13614	13344
505	13637	13314
506	13661	13284
507	13686	13255
508	13708	13223
509	13733	13194
510	13761	13169
511	13787	13140
512	13809	13109
513	13834	13080
514	13856	13049
515	13878	13017
516	13907	12993
517	13934	12965
518	13958	12936
519	13985	12909
520	14014	12884
521	14037	12853
522	14064	12827
523	14091	12800
524	14118	12773
525	14144	12746
526	14170	12718
527	14194	12688
528	14217	12658
529	14243	12631
530	14269	12603
531	14291	12572
532	14316	12544
533	14343	12517
534	14368	12488
535	14393	12459
536	14417	12430
537	14443	12403
538	14470	12376
539	14498	12350
540	14529	12327
541	14556	12300
542	14584	12274
543	14616	12251
544	14646	12228
545	14677	12204
546	14708	12181
547	14739	12157
548	14775	12138
549	14805	12113
550	14835	12088
551	14860	12060
552	14886	12032
553	14912	12005
554	14941	11979
555	14967	11952
556	14993	11924
557	15018	11896
558	15046	11869
559	15096	11861
560	15122	11834
561	15146	11804
562	15170	11775
563	15196	11747
564	15222	11720
565	15256	11698
566	15306	11689
567	15328	11658
568	15353	11629
569	15375	11599
570	15399	11569
571	15426	11542
572	15452	11515
573	15480	11489
574	15505	11460
575	15531	11432
576	15557	11405
577	15587	11380
578	15612	11352
579	15637	11324
580	15663	11296
581	15689	11268
582	15714	11240
583	15740	11212
584	15766	11184
585	15792	11156
586	15815	11127
587	15845	11102
588	15870	11074
589	15898	11047
590	15926	11022
591	15953	10994
592	15980	10968
593	16008	10941
594	16035	10914
595	16060	10886
596	16088	10860
597	16116	10834
598	16143	10807
599	16168	10778
600	16194	10751
601	16222	10725
602	16250	10698
603	16278	10672
604	16304	10645
605	16331	10618
606	16358	10591
607	16386	10564
608	16412	10537
609	16443	10513
610	16471	10486
611	16497	10459
612	16523	10431
613	16549	10404
614	16573	10374
615	16598	10346
616	16626	10321
617	16654	10294
618	16694	10275
619	16735	10257
620	16762	10230
621	16786	10201
622	16810	10172
623	16835	10144
624	16856	10113
625	16878	10084
626	16900	10054
627	16927	10027
628	16950	9997
629	16983	9974
630	17007	9945
631	17034	9918
632	17061	9892
633	17087	9864
634	17111	9835
635	17138	9808
636	17163	9780
637	17193	9755
638	17218	9727
639	17248	9702
640	17273	9674
641	17298	9646
642	17325	9619
643	17353	9592
644	17377	9564
645	17405	9538
646	17433	9511
647	17461	9485
648	17482	9455
649	17506	9426
650	17534	9399
651	17560	9373
652	17590	9347
653	17615	9319
654	17644	9293
655	17675	9268
656	17703	9242
657	17730	9215
658	17760	9190
659	17792	9165
660	17841	9149
661	17877	9127
662	17908	9102
663	17936	9076
664	17969	9052
665	18004	9029
666	18039	9006
667	18074	8983
668	18103	8957
669	18135	8932
670	18167	8907
671	18201	8884
672	18235	8860
673	18268	8836
674	18307	8814
675	18340	8790
676	18373	8766
677	18404	8740
678	18436	8716
679	18469	8691
680	18499	8665
681	18529	8639
682	18557	8613
683	18593	8590
684	18626	8565
685	18656	8539
686	18686	8513
687	18719	8489
688	18756	8466
689	18793	8443
690	18832	8421
691	18869	8398
692	18905	8374
693	18938	8350
694	18970	8325
695	19000	8299
696	19037	8275
697	19072	8251
698	19109	8228
699	19143	8204
700	19179	8180
701	19213	8156
702	19251	8133
703	19288	8110
704	19326	8086
705	19364	8063
706	19400	8040
707	19437	8016
708	19477	7994
709	19511	7969
710	19541	7942
711	19574	7917
712	19606	7892
713	19639	7866
714	19671	7841
715	19705	7816
716	19738	7790
717	19768	7764
718	19799	7737
719	19829	7711
720	19856	7683
721	19886	7656
722	19917	7630
723	19942	7602
724	19966	7573
725	19993	7545
726	20020	7517
727	20044	7489
728	20073	7462
729	20098	7433
730	20122	7404
731	20145	7375
732	20168	7346
733	20195	7318
734	20218	7289
735	20244	7261
736	20268	7232
737	20294	7204
738	20320	7176
739	20344	7148
740	20369	7119
741	20396	7092
742	20426	7065
743	20460	7040
744	20489	7013
745	20519	6986
746	20544	6958
747	20570	6930
748	20596	6902
749	20620	6873
750	20648	6846
751	20673	6818
752	20698	6789
753	20726	6762
754	20749	6733
755	20774	6705
756	20797	6676
757	20829	6650
758	20862	6624
759	20894	6598
760	20923	6571
761	20953	6544
762	20982	6517
763	21014	6491
764	21045	6465
765	21072	6437
766	21099	6409
767	21130	6383
768	21160	6356
769	21193	6330
770	21224	6304
771	21255	6277
772	21284	6250
773	21314	6223
774	21344	6196
775	21375	6170
776	21404	6143
777	21432	6115
778	21458	6087
779	21483	6059
780	21511	6032
781	21535	6003
782	21560	5975
783	21585	5947
784	21609	5918
785	21635	5890
786	21664	5863
787	21691	5835
788	21717	5807
789	21742	5779
790	21765	5750
791	21788	5722
792	21811	5693
793	21838	5665
794	21860	5636
795	21888	5609
796	21914	5581
797	21940	5553
798	21970	5526
799	21998	5499
800	22030	5473
801	22059	5446
802	22087	5418
803	22111	5390
804	22136	5362
805	22160	5333
806	22187	5306
807	22214	5278
808	22242	5251
809	22272	5224
810	22297	5196
811	22325	5168
812	22354	5141
813	22402	5119
814	22434	5092
815	22463	5065
816	22491	5037
817	22521	5010
818	22551	4983
819	22584	4957
820	22611	4929
821	22637	4902
822	22663	4874
823	22690	4846
824	22718	4818
825	22747	4791
826	22776	4764
827	22806	4737
828	22833	4709
829	22858	4681
830	22886	4654
831	22914	4626
832	22939	4598
833	22981	4574
834	23022	4549
835	23053	4522
836	23080	4494
837	23108	4467
838	23135	4439
839	23161	4411
840	23190	4384
841	23223	4357
842	23255	4331
843	23285	4304
844	23315	4276
845	23346	4249
846	23377	4222
847	23408	4195
848	23439	4168
849	23468	4141
850	23496	4113
851	23523	4086
852	23550	4058
853	23585	4032
854	23613	4004
855	23640	3976
856	23662	3948
857	23686	3920
858	23713	3892
859	23742	3865
860	23769	3837
861	23796	3809
862	23822	3781
863	23847	3753
864	23874	3726
865	23908	3699
866	23964	3676
867	23993	3648
868	24026	3621
869	24054	3594
870	24077	3566
871	24103	3538
872	24130	3510
873	24158	3482
874	24186	3455
875	24216	3427
876	24245	3400
877	24273	3372
878	24302	3345
879	24330	3317
880	24356	3289
881	24386	3262
882	24412	3234
883	24440	3207
884	24466	3179
885	24492	3151
886	24517	3123
887	24543	3095
888	24569	3067
889	24597	3040
890	24622	3012
891	24650	2984
892	24677	2956
893	24706	2929
894	24732	2901
895	24758	2873
896	24782	2845
897	24809	2818
898	24836	2790
899	24863	2762
900	24889	2734
901	24910	2706
902	24932	2678
903	24958	2650
904	24984	2622
905	25012	2595
906	25039	2567
907	25064	2539
908	25089	2511
909	25112	2483
910	25141	2456
911	25169	2428
912	25194	2400
913	25222	2373
914	25246	2345
915	25273	2317
916	25299	2289
917	25321	2261
918	25348	2234
919	25378	2206
920	25405	2179
921	25428	2151
922	25453	2123
923	25481	2095
924	25506	2068
925	25532	2040
926	25554	2012
927	25578	1984
928	25605	1956
929	25630	1929
930	25651	1901
931	25676	1873
932	25700	1845
933	25724	1817
934	25750	1790
935	25776	1762
936	25801	1734
937	25831	1707
938	25852	1679
939	25879	1651
940	25904	1624
941	25929	1596
942	25951	1568
943	25979	1541
944	26012	1513
945	26044	1486
946	26072	1459
947	26100	1431
948	26129	1404
949	26162	1376
950	26192	1349
951	26221	1322
952	26246	1294
953	26274	1266
954	26303	1239
955	26328	1211
956	26352	1184
957	26378	1156
958	26409	1129
959	26437	1101
960	26461	1073
961	26488	1046
962	26513	1018
963	26540	991
964	26566	963
965	26593	936
966	26619	908
967	26645	880
968	26670	853
969	26697	825
970	26722	798
971	26746	770
972	26771	742
973	26797	715
974	26823	687
975	26854	660
976	26880	632
977	26905	605
978	26930	577
979	26958	550
980	26982	522
981	27012	495
982	27041	467
983	27068	440
984	27095	412
985	27122	385
986	27151	357
987	27180	330
988	27211	302
989	27234	275
990	27261	247
991	27286	220
992	27310	192
993	27338	165
994	27368	137
995	27394	110
996	27419	82
997	27443	54
998	27472	27
999	27499	0
