iter	RMSE
249	24918399.93
250	24899696.2
251	24892578.56
252	24886275.39
253	24865822.2
254	24834165.99
255	24779847.25
256	24692780.99
257	24668444.59
258	24597672.23
259	24554858.19
260	24542238.23
261	24529764.49
262	24524194.5
263	24521233.65
264	24470988.19
265	24422093.43
266	24347537.64
267	24322326.62
268	24281308.6
269	24252917.68
270	24206742.45
271	24194124.94
272	24189668.21
273	24156376.85
274	24111480.65
275	24096854.96
276	24069331.66
277	24046097.93
278	24036129
279	24003201.57
280	23956557.49
281	23895743.88
282	23873124.74
283	23852808.34
284	23815402.83
285	23782069.13
286	23774574.11
287	23729634.13
288	23720972.09
289	23705009.31
290	23670110.03
291	23657591.05
292	23646818.49
293	23633468.59
294	23627567.61
295	23616790.1
296	23595873.76
297	23586204.12
298	23543548.56
299	23490589.88
300	23463747.33
301	23418621.56
302	23390967.56
303	23369780.15
304	23331278.47
305	23314175.78
306	23304068.87
307	23255123.75
308	23241037.41
309	23190365.69
310	23167148.69
311	23136248.2
312	23100581.31
313	23069299.67
314	23056028.29
315	23027289.43
316	22993846.62
317	22943630.78
318	22912823.43
319	22898077.23
320	22887540.09
321	22882748.82
322	22857163.63
323	22829527.51
324	22820932.63
325	22809740.2
326	22806656.01
327	22778529.99
328	22770041.89
329	22751808.94
330	22725011
331	22691256.69
332	22683060.29
333	22660390.47
334	22640124.34
335	22570279.2
336	22566727.93
337	22541967.92
338	22521342.24
339	22519848.77
340	22482750.91
341	22468645.94
342	22457500.8
343	22455037.12
344	22445859.33
345	22425238.32
346	22369223.41
347	22350981.93
348	22330701.73
349	22311361.03
350	22287231.46
351	22271722.42
352	22268510.97
353	22249314.89
354	22222498.61
355	22198501.38
356	22190235.3
357	22184577.04
358	22177258.49
359	22151365.38
360	22137340.15
361	22102577.11
362	22086634.03
363	22065423.04
364	22036773.82
365	22005537.91
366	21993113.78
367	21986816.53
368	21974822.01
369	21937612.93
370	21920750.67
371	21895256.79
372	21876559.13
373	21846228.13
374	21827394.13
375	21814167.82
376	21801173.19
377	21788839.09
378	21782710.03
379	21756917.91
380	21748645.47
381	21723203.69
382	21698119.08
383	21687821.38
384	21674207.53
385	21659431.45
386	21634020.13
387	21617266.32
388	21603651.18
389	21598592.45
390	21570358.63
391	21550244.75
392	21545241.4
393	21521431.19
394	21513585.4
395	21475921.96
396	21460043.3
397	21446600.67
398	21439850.25
399	21412825.39
400	21406087.13
401	21388340.5
402	21366063.31
403	21364611.91
404	21357894.79
405	21324554.15
406	21289029.26
407	21277564.41
408	21243149.41
409	21226043.66
410	21214760.7
411	21206260.32
412	21182259.19
413	21165778.31
414	21163263.4
415	21162183.68
416	21148434.02
417	21147452.64
418	21140114.36
419	21118326.12
420	21094871.11
421	21079515.62
422	21078311.65
423	21046446.76
424	21021213.77
425	20990599.18
426	20968983.84
427	20962414.49
428	20955806.51
429	20932794.16
430	20919125.77
431	20899632.61
432	20898231.33
433	20886120.85
434	20858044.7
435	20846214.86
436	20814643.25
437	20805232.49
438	20767459.11
439	20737849.25
440	20729696.89
441	20722275.26
442	20698495.18
443	20691234.73
444	20683303.71
445	20660485.15
446	20642158.3
447	20631907.08
448	20596712.96
449	20580821.95
450	20555926.74
451	20533780.09
452	20499827.71
453	20494701.51
454	20480503.58
455	20463788.94
456	20453591.85
457	20438030.04
458	20425435.88
459	20407601.33
460	20387811.63
461	20383407.31
462	20380616.81
463	20378548.97
464	20372670.93
465	20364697.99
466	20348087.22
467	20335941.7
468	20319676.16
469	20310316.85
470	20304543.13
471	20294618.05
472	20280659.94
473	20266967.72
474	20260649.64
475	20250306.42
476	20242477.17
477	20234059.34
478	20221585.95
479	20188718.61
480	20184810.27
481	20159628.95
482	20138172.16
483	20123271.22
484	20103499.88
485	20084099.66
486	20076062.06
487	20064038.22
488	20041645.28
489	20029498.44
490	20014095.95
491	20002786.59
492	19983939.16
493	19975771.71
494	19959201.82
495	19925439.55
496	19912848.85
497	19896311.05
498	19871637.59
499	19823902.11
500	19817266.61
501	19797418.59
502	19793801.78
503	19787620.89
504	19777249.17
505	19762370.16
506	19751570.3
507	19741553.66
508	19717580.34
509	19697325.82
510	19688148.3
511	19670717.46
512	19649812.88
513	19625118.58
514	19621030.1
515	19607711
516	19593751.76
517	19586460.82
518	19583075.34
519	19573119.11
520	19560042.77
521	19550467.73
522	19532469.05
523	19520981.27
524	19514782.96
525	19510906.36
526	19501317.49
527	19488045.85
528	19473724.84
529	19460590.34
530	19441478.66
531	19432877.98
532	19409581.9
533	19399952.49
534	19392543.3
535	19383697.62
536	19375637.66
537	19358533.15
538	19346230.62
539	19335744.36
540	19325290.49
541	19315547.92
542	19293623.92
543	19284539.86
544	19275849.32
545	19267509.92
546	19260263.6
547	19249379.19
548	19241227.8
549	19232201.72
550	19222158.09
551	19201620.13
552	19167136.3
553	19159037.71
554	19149175.3
555	19140619.27
556	19128302.76
557	19106078.53
558	19097847.36
559	19078918.14
560	19075601.48
561	19067164.72
562	19052057.62
563	19038196.31
564	19033207.74
565	19017924.2
566	19011669.98
567	19006077.78
568	18996684.34
569	18985933.23
570	18965915.11
571	18947634.55
572	18937821.52
573	18932368.42
574	18919306.21
575	18914070.94
576	18910797.79
577	18904108.27
578	18874038.79
579	18860425.84
580	18843507.12
581	18842843.22
582	18827720.23
583	18818902.41
584	18806872.96
585	18802045.17
586	18796689.8
587	18774432.42
588	18765434.81
589	18752200.02
590	18743044.71
591	18737862.56
592	18727801.63
593	18715714.77
594	18714887.7
595	18714354.46
596	18696552.83
597	18660707.31
598	18636437.63
599	18629359.7
600	18621968.4
601	18612344.97
602	18604518.32
603	18594208.42
604	18590601.06
605	18576683.07
606	18560777.31
607	18546926.74
608	18539704.86
609	18529242.43
610	18502226.7
611	18497295.99
612	18483392.97
613	18478139.29
614	18466913.12
615	18460996.48
616	18438520.89
617	18433120.41
618	18423448.38
619	18418131.1
620	18410483.52
621	18401001.42
622	18376597.32
623	18360432.66
624	18353992.26
625	18341693.63
626	18328139.3
627	18310280.53
628	18307505.6
629	18297618.54
630	18292951.48
631	18290088.93
632	18273745.22
633	18273440.89
634	18261920.01
635	18244985.18
636	18239999.42
637	18199915.19
638	18191050.63
639	18180658.06
640	18159685.87
641	18139234.23
642	18128574.08
643	18116217.66
644	18106488.11
645	18102261.49
646	18093676.06
647	18090644.14
648	18083939.3
649	18073059.35
650	18058625.76
651	18047816.43
652	18030902.06
653	18017889.91
654	18007892.21
655	17983878.41
656	17975202.47
657	17965691.19
658	17952554.4
659	17940103.97
660	17932372.73
661	17924476.15
662	17903256.12
663	17892038.34
664	17878012.02
665	17867200.21
666	17862123.71
667	17855771.46
668	17847413.47
669	17840000.57
670	17839123.25
671	17835033.19
672	17823892.98
673	17804370.08
674	17803072.97
675	17794656.72
676	17787788.52
677	17781344.52
678	17774954.77
679	17760923.68
680	17753530.61
681	17746080.9
682	17735550.42
683	17733735.46
684	17710891.8
685	17701212.62
686	17694451.43
687	17683033.22
688	17668216.34
689	17649266.67
690	17638143.14
691	17598316.3
692	17591927.14
693	17575859.22
694	17571316.53
695	17561932.94
696	17554986.58
697	17547085.85
698	17543231.55
699	17541562.4
700	17524869.44
701	17516410.08
702	17508192.74
703	17499922.63
704	17490265.55
705	17480788.58
706	17477065.14
707	17466515.29
708	17463998.58
709	17452361.5
710	17447801.85
711	17439905.37
712	17434852.13
713	17421760.62
714	17409585.66
715	17376667.74
716	17366084.9
717	17358166.43
718	17347563.96
719	17343310.44
720	17336772.63
721	17318632.31
722	17298416.47
723	17283677.8
724	17265211.9
725	17255529.81
726	17252427.88
727	17246248.36
728	17227105.44
729	17217215.64
730	17197826.94
731	17156931.41
732	17148845.99
733	17128438.25
734	17122422.74
735	17115073.78
736	17111999.12
737	17107110.71
738	17095528.81
739	17087209.84
740	17070883.82
741	17068145.52
742	17052051.34
743	17036319.48
744	17034435.66
745	17023430.56
746	16997183.71
747	16986578.14
748	16974443.87
749	16971679.43
750	16962514.21
751	16932093.9
752	16923727.84
753	16907032.84
754	16900556.82
755	16891255.49
756	16878004.82
757	16869921.49
758	16864621.47
759	16857878.66
760	16847925.27
761	16842524.52
762	16825974.65
763	16820615.77
764	16804993.6
765	16797157.05
766	16797027.61
767	16773029.37
768	16750878.54
769	16737767.67
770	16728808.32
771	16701533.67
772	16693045.37
773	16671172.42
774	16666869.01
775	16656699.02
776	16635410.79
777	16629210.3
778	16612833.58
779	16608770.07
780	16595408.1
781	16585932.3
782	16568263.96
783	16561140.43
784	16555495.81
785	16546188.43
786	16542959.93
787	16530634.97
788	16504170.23
789	16499249.24
790	16495043.16
791	16486203.99
792	16469867.03
793	16463373.29
794	16442681.57
795	16414392.2
796	16397580.22
797	16391041.42
798	16389951.55
799	16377749.74
800	16369560.5
801	16363349.25
802	16354259.03
803	16345708.95
804	16334848.7
805	16333477.85
806	16327676.06
807	16324649.82
808	16321162.18
809	16305520.47
810	16297973.39
811	16285148.52
812	16270961.14
813	16244502.07
814	16239196.3
815	16230863.67
816	16217699.54
817	16213389.69
818	16195881.25
819	16188182.75
820	16181507.14
821	16166386.41
822	16150395.78
823	16144983.83
824	16133602.15
825	16124755.14
826	16114456.35
827	16108555.99
828	16104359.52
829	16096725.84
830	16085147.54
831	16076719.89
832	16073465.97
833	16065116.16
834	16056092.48
835	16043472.87
836	16034573.19
837	16028126.66
838	16023767.89
839	16017797.97
840	16011490.19
841	15997013.21
842	15996687.27
843	15988017.25
844	15983889.72
845	15973280.28
846	15955538.57
847	15944774.87
848	15916074.02
849	15903325.87
850	15896138.59
851	15886508.62
852	15884990.72
853	15881838.38
854	15872509.36
855	15865785.25
856	15864891.93
857	15854373.27
858	15846468.99
859	15838170.89
860	15835557.32
861	15833048.23
862	15832766.32
863	15818486.27
864	15807850.33
865	15790900.1
866	15778573.54
867	15773870.14
868	15762157.72
869	15751121.25
870	15741338.12
871	15732888.56
872	15721495.32
873	15719902.54
874	15714432.91
875	15706140.41
876	15692162.02
877	15686526.95
878	15676374.95
879	15660165.97
880	15644948.24
881	15643572.2
882	15638534.93
883	15634305.8
884	15614031.82
885	15599414.33
886	15593106.78
887	15575474.15
888	15569428.47
889	15549915.76
890	15541963.45
891	15539979.65
892	15528858.79
893	15527763.89
894	15513234.79
895	15501665.43
896	15496882.54
897	15490545.79
898	15486904.86
899	15484148.64
900	15467315.56
901	15463672.47
902	15450691.48
903	15435597.02
904	15425209.45
905	15419600.83
906	15412837.83
907	15408384.83
908	15404369.88
909	15400226.81
910	15393747.12
911	15384766.86
912	15379306.74
913	15369924.26
914	15364674.41
915	15356995.6
916	15340876.57
917	15327781.33
918	15320635.97
919	15316070.49
920	15307215.57
921	15302332.62
922	15297688.58
923	15291566.44
924	15288467.15
925	15283900.01
926	15274935.45
927	15271310.4
928	15261114.28
929	15258466.16
930	15254923.15
931	15249883.28
932	15244793.84
933	15235341.59
934	15218446.75
935	15213323.32
936	15207354.57
937	15194682.53
938	15190895.25
939	15182439.62
940	15181082.57
941	15171480.69
942	15162205.28
943	15152952.92
944	15146703.22
945	15139932.92
946	15116409.49
947	15114086.47
948	15098037.81
949	15094629.42
950	15088807.37
951	15081249.45
952	15078426.48
953	15069086.82
954	15066117.69
955	15060648.47
956	15049487.4
957	15043487.96
958	15027804.24
959	15023584.57
960	15021182.93
961	15006616.99
962	15003258.32
963	14994527.03
964	14992995.39
965	14987130.8
966	14983245.43
967	14979052.3
968	14968270.22
969	14964070.73
970	14954565.98
971	14949447.49
972	14940704.16
973	14930831.66
974	14920794.78
975	14909499.32
976	14906423.83
977	14890623.15
978	14868366.5
979	14850773.82
980	14839784.09
981	14834942.1
982	14831746.91
983	14815399.87
984	14812340.76
985	14807685.31
986	14804439.48
987	14795682.68
988	14781918.38
989	14778631.73
990	14771366.29
991	14764686.66
992	14760651.33
993	14754791.59
994	14750844.9
995	14744162.07
996	14741566.76
997	14731661.14
998	14728667.71
999	14714517.68
